,RecipeID,Name,Ingredients,Servings Per Recipe,calories,protein,carbohydrates,fat,saturated_fat,cholesterol,fiber,Sodium,Rating,Number of Ratings,URL,Cluster
44,45,Turkey Avocado Panini,"½  ripe avocado ¼ cup mayonnaise 2  ciabatta rolls 1 tablespoon olive oil, divided 2 slices provolone cheese 1 cup whole fresh spinach leaves, divided ¼ pound thinly sliced mesquite smoked turkey breast 2  roasted red peppers, sliced into strips ",1.3831258644536653,1000,34.57814661134163,58.09128630705394,70.53941908713693,17.98063623789765,85.75380359612724,8.29875518672199,2378.9764868603042,4.7,91,https://www.allrecipes.com/recipe/201117/turkey-avocado-panini/,2
45,46,Easy Chicken with Mushrooms and Zucchini in Cream Sauce,"1 tablespoon butter 2 (5 ounce) boneless, skinless chicken breasts, cubed   salt and freshly ground pepper to taste 1 tablespoon olive oil 4  green onions, chopped 2  green zucchini, cut in half lengthwise and into 1/4-inch slices 8 large fresh mushrooms, sliced 1 tablespoon all-purpose flour ¾ cup heavy whipping cream 1 tablespoon chopped fresh parsley ",1.4903129657228018,1000,59.61251862891207,26.825633383010434,76.00596125186289,40.23845007451565,333.8301043219076,5.961251862891207,383.01043219076007,4.5,89,https://www.allrecipes.com/recipe/260466/easy-chicken-with-mushrooms-and-zucchini-in-cream-sauce/,2
46,47,Pasta with Swiss Chard,"⅓ pound whole-wheat spaghetti 2 tablespoons extra-virgin olive oil 1 clove garlic, minced 1 bunch Swiss chard, chopped 1 teaspoon capers   salt and pepper to taste 1 teaspoon lemon juice, or to taste (Optional) ¼ cup grated Parmesan cheese, or to taste ",2.207505518763797,1000,37.52759381898455,136.86534216335542,39.735099337748345,8.830022075055188,19.867549668874172,26.490066225165563,980.1324503311259,4.5,50,https://www.allrecipes.com/recipe/218593/pasta-with-swiss-chard/,1
47,48,Scrambled Peanut Butter Eggs,"4  eggs 2 tablespoons peanut butter 2 teaspoons minced fresh ginger 2 teaspoons minced fresh garlic 1 teaspoon seasoning sauce (such as Maggi®) 1 teaspoon sriracha sauce, or to taste ",4.048582995951417,1000,68.82591093117409,24.291497975708502,72.87449392712551,20.242914979757085,1506.0728744939272,4.048582995951417,1396.761133603239,4.2,9,https://www.allrecipes.com/recipe/254899/scrambled-peanut-butter-eggs/,2
48,49,Tuna Panini Melt,"1 (5 ounce) can solid white albacore tuna in water (such as Bumble Bee®) 1 tablespoon mayonnaise 1 tablespoon balsamic vinegar 1 tablespoon chopped onion 1  dill pickle, chopped 4 slices sourdough bread 2 slices American cheese ",2.6246719160104988,1000,73.49081364829397,81.36482939632546,41.99475065616798,18.37270341207349,125.98425196850394,2.6246719160104988,2270.3412073490813,4.8,16,https://www.allrecipes.com/recipe/254438/tuna-panini-melt/,0
49,50,Scrambled Eggs and Tomatoes,"2  large eggs, beaten 2  tomatoes, coarsely chopped 1 ½ teaspoons sugar   salt to taste 1 dash soy sauce ",10.638297872340425,1000,74.46808510638297,53.191489361702125,53.191489361702125,21.27659574468085,1978.723404255319,21.27659574468085,1106.3829787234042,4.2,36,https://www.allrecipes.com/recipe/85001/scrambled-eggs-and-tomatoes/,2
50,51,Salmon with Garlic-Butter Sauce,"3 ounces butter 4 cloves garlic, crushed   salt and ground black pepper to taste 1 pinch dried oregano, or to taste 2  salmon steaks ",2.0161290322580645,1000,42.33870967741935,4.032258064516129,90.7258064516129,48.38709677419355,296.3709677419355,0.0,756.0483870967741,4.9,7,https://www.allrecipes.com/recipe/269715/salmon-with-garlic-butter-sauce/,2
51,52,Lucky's Quickie Chickie,"2 teaspoons olive oil 6 ounces chicken tenderloin strips ¼ teaspoon salt ⅛ teaspoon freshly ground black pepper 2 tablespoons chopped fresh basil 1 ½ teaspoons honey 1 ½ teaspoons balsamic vinegar, or more to taste ",6.369426751592357,1000,114.64968152866243,31.847133757961785,44.5859872611465,6.369426751592357,312.1019108280255,0.0,2127.3885350318474,4.5,269,https://www.allrecipes.com/recipe/234415/luckys-quickie-chickie/,0
52,53,Grilled Salmon Sandwich with Dill Sauce,"4 slices bacon 1 (1 pound) fillet salmon, cut into 2 portions 1 tablespoon olive oil ⅓ cup mayonnaise 1 teaspoon dried dill weed 1 teaspoon freshly grated lemon zest 4 slices country-style bread, toasted 4 slices tomato 2  green leaf lettuce leaves ",1.0741138560687433,1000,54.77980665950591,32.2234156820623,71.9656283566058,13.963480128893663,155.7465091299678,2.1482277121374866,1158.968850698174,4.6,40,https://www.allrecipes.com/recipe/203769/grilled-salmon-sandwich-with-dill-sauce/,2
53,54,Black Bean Breakfast Bowl,"2 tablespoons olive oil 4  eggs, beaten 1 (15 ounce) can black beans, drained and rinsed 1  avocado, peeled and sliced ¼ cup salsa   salt and ground black pepper to taste ",1.6,1000,44.800000000000004,75.2,62.400000000000006,11.200000000000001,595.2,35.2,1852.8000000000002,4.6,131,https://www.allrecipes.com/recipe/220123/black-bean-breakfast-bowl/,1
54,55,Onion Pan-Fried Pork Chops,1 (1 ounce) envelope dry onion soup mix 2  pork chops ¼ cup all-purpose flour 1 cup olive oil for frying ,3.1545741324921135,1000,53.62776025236593,66.24605678233438,59.936908517350155,12.618296529968454,119.87381703470031,3.1545741324921135,3987.3817034700314,4.5,273,https://www.allrecipes.com/recipe/72012/onion-pan-fried-pork-chops/,2
55,56,Baja-Style Chicken Bowl,"2 teaspoons olive oil 4 ounces diced cooked chicken ½ cup frozen corn 1  red bell pepper, sliced   salt and ground black pepper to taste 1 cup cooked brown rice ½ cup salsa ¼ cup shredded Monterey Jack cheese ",2.638522427440633,1000,63.324538258575195,102.9023746701847,39.577836411609496,13.192612137203167,145.11873350923483,13.192612137203167,1532.9815303430078,4.6,115,https://www.allrecipes.com/recipe/240391/baja-style-chicken-bowl/,1
56,57,Flatbread Breakfast Pizza,"2  eggs, or as needed 1 ½ tablespoons milk   salt and ground pepper to taste   cooking spray ¼ cup cooked sausage, crumbled 3 slices cooked bacon, cut into pieces ½ cup diced tomatoes, or to taste (Optional) ½ cup diced mushrooms, or to taste (Optional) 1  prepared flatbread ¼ cup shredded Monterey Jack cheese ",1.7857142857142858,1000,50.0,121.42857142857143,42.85714285714286,14.285714285714286,391.0714285714286,5.357142857142858,1539.2857142857144,5.0,5,https://www.allrecipes.com/recipe/259219/flatbread-breakfast-pizza/,1
57,58,Dominican Style Oatmeal,1 ½ cups milk ½ cup quick cooking oats 2 tablespoons white sugar ¼ teaspoon ground cinnamon 1 pinch ground nutmeg 1 pinch salt ¼ teaspoon lemon zest (Optional) ,4.545454545454546,1000,40.909090909090914,159.0909090909091,22.72727272727273,13.636363636363637,68.18181818181819,9.090909090909092,700.0000000000001,4.8,298,https://www.allrecipes.com/recipe/202760/dominican-style-oatmeal/,1
58,59,Spicy Garlic Salmon,"2 cloves garlic, crushed 1  dried red chile pepper 1 tablespoon olive oil 1 teaspoon whole grain mustard 2 tablespoons fresh lime juice   sea salt to taste   freshly ground black pepper 2 (6 ounce) fillets salmon ",2.898550724637681,1000,86.95652173913044,8.695652173913043,66.66666666666667,11.594202898550725,240.57971014492753,2.898550724637681,1626.0869565217392,4.4,156,https://www.allrecipes.com/recipe/74567/spicy-garlic-salmon/,2
59,60,Garlic Bread Grilled Cheese,"4 tablespoons unsalted butter, softened 2 tablespoons chopped fresh parsley 1 tablespoon grated Pecorino Romano cheese 1 clove garlic, minced 4 slices white bread 4 slices provolone cheese ½ cup shredded mozzarella cheese ",1.6,1000,43.2,44.800000000000004,72.0,44.800000000000004,195.20000000000002,1.6,1699.2,4.8,5,https://www.allrecipes.com/recipe/275362/garlic-bread-grilled-cheese/,2
60,61,Cheeseburger Wellington,"6 ounces frozen puff pastry 1 slice bacon, cut in half 8 ounces ground beef   salt and freshly ground black pepper to taste   cayenne pepper to taste ½ ounce sharp Cheddar cheese 1 large egg ",1.0695187165775402,1000,33.155080213903744,41.711229946524064,77.0053475935829,25.668449197860966,218.1818181818182,1.0695187165775402,491.97860962566847,5.0,5,https://www.allrecipes.com/recipe/8513919/cheeseburger-wellington/,2
